T,lambda,G,nu_l,rho_l,gamma,r,h_0,u_0,ts_dt,R,volume,time
67.63162409,0.009929095,19.90975864,7.41E-06,779.4835395,0.030465786,0.000267504,0.002482274,0.002744235,5.00E-05,0.007446821,3.14E-08,0.0120336
174.8533119,0.005575258,16.42507177,1.81E-06,711.6279791,0.022960268,0.000146116,0.001393814,0.002669524,5.00E-05,0.004181443,5.55E-09,0.00391523
123.5397403,0.007271716,19.10641974,2.98E-06,744.1019238,0.026552218,0.000234971,0.001817929,0.003291372,5.00E-05,0.005453787,1.24E-08,0.00584697
194.3790339,0.008319897,24.73493249,1.58E-06,699.2710685,0.021593468,0.000527726,0.002079974,0.006460869,1.00E-05,0.006239923,1.83E-08,0.00578131
259.5914421,0.00461918,21.91658167,1.16E-06,658.0012041,0.017028599,0.00036171,0.001154795,0.007976204,1.00E-05,0.003464385,3.14E-09,0.00248629
255.3208797,0.004997541,14.43649584,1.18E-06,660.7038421,0.017327538,9.82E-05,0.001249385,0.002000588,5.00E-05,0.003748156,,
268.9862399,0.004453552,13.81336053,1.13E-06,652.0556787,0.016370963,8.60E-05,0.001113388,0.00196661,5.00E-05,0.003340164,,
179.3975833,0.007623279,11.89475556,1.75E-06,708.7521235,0.022642169,5.64E-05,0.00190582,0.000752957,5.00E-05,0.00571746,1.41E-08,0.00737539
231.2287895,0.003693315,19.75848055,1.30E-06,675.9505922,0.019013985,0.000261159,0.000923329,0.007202583,5.00E-05,0.002769987,,
170.5432542,0.008969141,18.74457066,1.87E-06,714.3556117,0.023261972,0.000221239,0.002242285,0.002512532,5.00E-05,0.006726856,2.26E-08,0.00731797
177.5103442,0.004779287,20.45373533,1.77E-06,709.9464684,0.022774276,0.00029118,0.001194822,0.006205807,1.00E-05,0.003584466,3.46E-09,0.00284061
226.3983147,0.003917349,14.6879983,1.33E-06,679.0075725,0.019352118,0.000103441,0.000979337,0.00268968,5.00E-05,0.002938012,,
162.5969914,0.004290995,22.72246991,1.99E-06,719.3844275,0.023818211,0.00040501,0.001072749,0.009614087,1.00E-05,0.003218246,2.52E-09,0.00247492
185.1596037,0.007307257,10.64132809,1.68E-06,705.105612,0.022238828,4.29E-05,0.001826814,0.000597793,5.00E-05,0.005480443,1.24E-08,0.00800742
68.17733721,0.006149964,14.74865459,7.33E-06,779.1381834,0.030427586,0.000104749,0.001537491,0.001734905,5.00E-05,0.004612473,7.38E-09,0.00746172
212.9520119,0.005954192,27.56441721,1.42E-06,687.5171047,0.020293359,0.000738055,0.001488548,0.012625998,1.00E-05,0.004465644,6.81E-09,0.00340035
167.8464187,0.005879308,17.98243112,1.91E-06,716.062312,0.023450751,0.000194138,0.001469827,0.00336345,5.00E-05,0.004409481,6.38E-09,0.00410078
97.40968973,0.007539735,14.64519916,4.28E-06,760.6384031,0.028381322,0.000102526,0.001884934,0.001385092,5.00E-05,0.005654802,1.37E-08,0.00745117
69.38433278,0.009806752,28.79429589,7.14E-06,778.3743327,0.030343097,0.000844249,0.002451688,0.008768909,1.00E-05,0.007355064,,
91.14876209,0.007718915,27.36998093,4.74E-06,764.6006496,0.028819587,0.000722109,0.001929729,0.009528988,1.00E-05,0.005789186,,
130.9507471,0.006564227,12.6954828,2.73E-06,739.4118463,0.026033448,6.73E-05,0.001641057,0.001044819,5.00E-05,0.00492317,8.99E-09,0.00604648
151.7848765,0.008831164,27.80955668,2.20E-06,726.2269062,0.024575059,0.000758482,0.002207791,0.008748381,1.00E-05,0.006623373,2.21E-08,0.006255
110.1062306,0.004302778,19.57470719,3.55E-06,752.6033599,0.027492564,0.000253588,0.001075695,0.006003153,5.00E-05,0.003227084,,
163.9320567,0.008652567,28.28495642,1.97E-06,718.5395275,0.023724756,0.000799141,0.002163142,0.009407594,1.00E-05,0.006489425,2.08E-08,0.00595757
78.46940152,0.00933286,24.46613311,5.96E-06,772.6248202,0.029707142,0.000510091,0.002333215,0.005567146,1.00E-05,0.006999645,2.55E-08,0.0112013
84.92404961,0.007037075,14.97552993,5.29E-06,768.5399772,0.029255317,0.000109753,0.001759269,0.00158864,5.00E-05,0.005277806,1.11E-08,0.00715469
