%mcmc_id interface             Lv       CURVE1_1 
429          NO_ID     8.46700393 0.000218537885 
430          NO_ID    8.359938068 0.0002229088864 
431          NO_ID    8.527256819 0.0002160891521 
432          NO_ID     8.35099462 0.0002232738041 
433          NO_ID    8.350149496 0.0002233082797 
434          NO_ID    8.582950655 0.000213844991 
435          NO_ID    8.667061537 0.0002105135085 
436          NO_ID    8.473897342 0.0002182569909 
437          NO_ID    8.611353649 0.0002127108965 
438          NO_ID    8.309639126 0.000224958789 
439          NO_ID    8.731958761 0.0002080107887 
440          NO_ID    8.466905856 0.0002185418823 
441          NO_ID    8.621368248 0.0002123130599 
442          NO_ID    8.798921877 0.000205510244 
443          NO_ID    8.998934287 0.000198712792 
444          NO_ID    8.489382547 0.0002176265808 
445          NO_ID    8.350716511 0.0002232851494 
446          NO_ID    8.463283632 0.0002186895384 
447          NO_ID    8.789874362 0.0002058425702 
448          NO_ID    8.699503606 0.0002092537397 
449          NO_ID    8.620834123 0.0002123342497 
450          NO_ID    8.299236965 0.0002253818115 
451          NO_ID    8.638464381 0.0002116366164 
452          NO_ID    8.693536332 0.0002094842213 
453          NO_ID    8.642445423 0.0002114796161 
454          NO_ID    8.731011387 0.0002080468051 
455          NO_ID     8.58006833 0.0002139605176 
456          NO_ID    8.255590732 0.0002271522003 
457          NO_ID    8.095372652 0.0002335656336 
458          NO_ID    8.039173585 0.0002357783343 
459          NO_ID    8.667993356 0.000210477103 
460          NO_ID    8.567797487 0.0002144531708 
461          NO_ID    8.863692042 0.0002031879482 
462          NO_ID    8.599313889 0.0002131906312 
463          NO_ID    8.833982675 0.0002042403345 
464          NO_ID    8.952683156 0.000200180858 
465          NO_ID    8.447102214 0.0002193495577 
466          NO_ID    8.700079231 0.0002092315374 
467          NO_ID     8.89637307 0.0002020572974 
468          NO_ID    8.564329905 0.0002145926203 
469          NO_ID    8.227469576 0.0002282883002 
470          NO_ID    8.575966668 0.0002141250459 
471          NO_ID     8.73209379 0.0002080056567 
472          NO_ID    8.647345834 0.0002112866389 
473          NO_ID    8.056108425 0.0002351136196 
474          NO_ID    8.209428948 0.0002290150136 
475          NO_ID    8.651512327 0.0002111228117 
476          NO_ID     8.95689259 0.0002000444315 
477          NO_ID    8.135897654 0.0002319578358 
478          NO_ID    8.043141038 0.0002356227631 
479          NO_ID    8.429729245 0.0002200587376 
480          NO_ID    8.479700848 0.0002180206267 
481          NO_ID    8.381200985 0.0002220408113 
482          NO_ID    8.318003234 0.0002246183876 
483          NO_ID    8.059190163 0.0002349924686 
484          NO_ID    8.027481928 0.0002362362354 
485          NO_ID    8.449763765 0.0002192409564 
486          NO_ID     8.91898737 0.0002012924476 
487          NO_ID    8.992086325 0.0001989257939 
488          NO_ID    8.989375439  0.00019901054 
489          NO_ID    8.694556157 0.0002094447904 
490          NO_ID    8.572426256 0.0002142671804 
491          NO_ID    8.566153612 0.0002145192672 
492          NO_ID      8.6493253 0.0002112087772 
493          NO_ID    8.481670884 0.0002179404178 
494          NO_ID    8.185089614 0.0002299926167 
495          NO_ID      8.1534901 0.0002312566961 
496          NO_ID    8.125547065 0.0002323694619 
497          NO_ID    8.053116059 0.0002352312013 
498          NO_ID    8.542349495 0.0002154787428 
499          NO_ID    8.707083765 0.0002089618081 
500          NO_ID    8.253752428 0.0002272265852 
