%eval_id interface             Lv       CURVE1_1 
445          NO_ID    7.958282809 0.0002389303853 
446          NO_ID    10.16121226 0.0001870479415 
447          NO_ID    7.888781619 0.0002416122583 
448          NO_ID    6.825660795 0.0002867795044 
449          NO_ID    8.154320034 0.0002312235727 
450          NO_ID    8.902229747 0.0002018578066 
451          NO_ID    7.623723092 0.0002517667691 
452          NO_ID    7.964625779 0.0002386845113 
453          NO_ID    7.614720167 0.0002521142234 
454          NO_ID    7.506207594 0.0002563455445 
455          NO_ID    8.212058842 0.0002289091849 
456          NO_ID    9.855633919 0.0001858149387 
457          NO_ID    8.492608102 0.0002174953816 
458          NO_ID    9.354033685 0.0001900125469 
459          NO_ID    7.604626396 0.0002525043124 
460          NO_ID    9.957507985 0.000185962497 
461          NO_ID    9.771535454 0.0001859196166 
462          NO_ID    8.611614673 0.000212700513 
463          NO_ID    6.777021787 0.0002892760846 
464          NO_ID     8.98824768 0.0001990458661 
465          NO_ID    10.05741901 0.0001863726307 
466          NO_ID     9.58365801 0.0001869797678 
467          NO_ID    9.679710157 0.0001862883739 
468          NO_ID    9.995908309 0.0001860905461 
469          NO_ID    10.45851542 0.0001901351408 
470          NO_ID    9.659239121 0.000186408795 
471          NO_ID     8.92619094 0.0002010519401 
472          NO_ID     8.42233342 0.0002203607597 
473          NO_ID    9.679224968 0.000186291063 
474          NO_ID    7.197169037 0.0002691585778 
475          NO_ID    7.163042623 0.000270667966 
476          NO_ID    9.226148317 0.000192590837 
477          NO_ID      9.1075389 0.0001955501014 
478          NO_ID    8.147944338 0.000231477925 
479          NO_ID    7.743107493 0.0002471883981 
480          NO_ID    9.376114599 0.0001896325801 
481          NO_ID    10.27358619 0.0001880322367 
482          NO_ID    9.284695062 0.0001913305754 
483          NO_ID    8.308216422 0.0002250166675 
484          NO_ID    7.226783813 0.0002678658517 
485          NO_ID    10.05200641 0.0001863441351 
486          NO_ID    10.35373011 0.0001888761584 
487          NO_ID    8.957405225 0.0002000278549 
488          NO_ID    9.516035101 0.0001876651929 
489          NO_ID    9.165158914 0.0001940456114 
490          NO_ID    7.814648221 0.0002444541149 
491          NO_ID    9.080612865 0.0001962952954 
492          NO_ID    10.46164879 0.0001901752605 
493          NO_ID    9.190835124 0.0001934156765 
494          NO_ID    8.096635781 0.0002335156751 
495          NO_ID    8.917741097 0.0002013342125 
496          NO_ID    10.17847954 0.0001871829106 
497          NO_ID     9.33936003  0.00019027566 
498          NO_ID    9.586383165 0.0001869556523 
499          NO_ID    6.623025403 0.0002974309161 
500          NO_ID    7.564242221 0.0002540714582 
501          NO_ID    6.488785161 0.0003048003433 
502          NO_ID    9.023292605 0.000197967802 
503          NO_ID    8.422204796 0.0002203660127 
504          NO_ID    8.270001367 0.0002265685577 
505          NO_ID    9.893523648 0.000185836078 
506          NO_ID    8.495298979 0.0002173859637 
507          NO_ID    8.746285909 0.0002074681675 
508          NO_ID    7.338098121 0.0002631408558 
509          NO_ID    7.356397332 0.0002623829705 
510          NO_ID    9.511111612 0.0001877217195 
511          NO_ID    9.208865193 0.0001929884921 
512          NO_ID    8.795932818 0.0002056198329 
513          NO_ID    6.793203691 0.0002884409827 
514          NO_ID    8.737876985 0.0002077861731 
515          NO_ID     9.49198599 0.0001879499582 
516          NO_ID    9.910106106 0.0001858580992 
